opm_dbm,temperature,humidity,vibration,rainfall_mm,fault_type,location,timestamp
-43.76947876409675,30.144562305653555,47.747930736614904,0.697033567392751,1.000044605563738,Physical_Cut,DistBox_2,2024-06-01 00:00:00
-25.34261982350614,65.82197865379537,48.94863234474385,0.02370394121178325,1.6796715955373562,Thermal_Fault,Splitter_C,2024-06-01 00:10:00
-35.594626988970525,37.94789292477056,50.717259045104086,0.6219331753888749,2.301930878375203,Physical_Cut,Splitter_C,2024-06-01 00:20:00
-16.459609085592298,39.09748185420213,52.03805878781375,0.010760093600861876,1.8192536388731848,Normal,DistBox_3,2024-06-01 00:30:00
-19.087586744694466,41.783144634490164,70.03957392775577,0.03665083349374126,1.405228635073076,Gradual_Degradation,Splitter_B,2024-06-01 00:40:00
-24.143861281784538,66.07949950660564,54.78250638217467,0.011138127615161813,0.19748953008946135,Thermal_Fault,Splitter_B,2024-06-01 00:50:00
-25.81220387700016,83.16463458045953,42.04461950141491,0.029335610805053453,1.3400661652339947,Thermal_Fault,DistBox_2,2024-06-01 01:00:00
-22.04730005748483,32.92066846117426,53.27418725944352,0.24486953349097684,3.2802374629850144,Loose_Connector,Junction_2,2024-06-01 01:10:00
-14.378472094322944,28.891351501469387,54.6338591099188,0.016346580816903957,1.9760719323111837,Normal,OLT_Main,2024-06-01 01:20:00
-23.494617538141288,46.88975759690487,62.8201632341074,0.02251926018061063,0.6590240339841222,Gradual_Degradation,DistBox_1,2024-06-01 01:30:00
-19.38869313897475,29.61928745204242,50.541235412784445,0.1478808735243836,3.1899559108520688,Loose_Connector,OLT_Main,2024-06-01 01:40:00
-14.242004233743243,33.278602581617285,63.476692462822406,0.040959442971339514,0.3315490803265515,Normal,OLT_Main,2024-06-01 01:50:00
-29.61451190085363,29.22624217258632,94.16921027928451,0.03673590168326232,45.25204531767964,Water_Ingress,Splitter_B,2024-06-01 02:00:00
-37.86678270498728,26.351784352629178,66.9591678490331,0.7799700893997973,4.737386171978123,Physical_Cut,Splitter_B,2024-06-01 02:10:00
-23.108625958389798,38.79013147968591,55.354592345699004,0.007482273441055214,0.795447006651032,Gradual_Degradation,Splitter_C,2024-06-01 02:20:00
-28.97706559022066,26.807070967608414,88.90082730145623,0.004931351171957874,10.302352159198922,Water_Ingress,Splitter_B,2024-06-01 02:30:00
-27.316775758698228,76.15774834143454,44.213455833099864,0.026437742032890347,0.223285255315547,Thermal_Fault,DistBox_2,2024-06-01 02:40:00
-17.827360352197694,35.98858145815375,61.962889032533695,0.01365354049864062,1.818909221874484,Normal,Splitter_C,2024-06-01 02:50:00
